Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Noche de Cine,@tunochedecine,2023-10-20T09:17:00.000Z,False," ha desvelado hoy el #tráiler oficial y el #póster de la próxima película original #Saltburn la nueva película de la directora Emerald Fennell, protagonizada por Barry Keoghan, Jacob Elordi y Rosamund Pike.",0,0,0,229,"['#tráiler', '#póster', '#Saltburn']",['@PrimeVideoES'],[],https://pbs.twimg.com/profile_images/2898379478/9bef6d31b9e379ff162c5bc91698acdc_x96.jpeg,https://x.com/tunochedecine/status/1715296045909819743,tweet_id:1715296045909819743
ScreenWorld,@ScreenWorld_it,2023-10-20T09:11:25.000Z,False,"Saltburn, la recensione del nuovo film di Emerald Fennell",0,0,0,91,[],[],[],https://pbs.twimg.com/profile_images/1459483592166420486/uCn7I0Z1_x96.jpg,https://x.com/ScreenWorld_it/status/1715294640838975974,tweet_id:1715294640838975974
kiz,@timeinparlour,2023-10-20T09:11:08.000Z,False,everyone shut the fuck up I’m trying to watch the saltburn trailer,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1784165773931585536/rq2QDHyj_x96.jpg,https://x.com/timeinparlour/status/1715294569032736801,tweet_id:1715294569032736801
Tuhin,@tuhinat221b,2023-10-20T09:09:46.000Z,False,"Zone of Interest, The Killer, Priscilla, May December, Saltburn, Poor Things, About Dry Grasses, How to Have Sex,Maestro, Io Capitano,  Ferrari, Memory, Firebrand, Kennedy, Daaali, Youth (Spring), A Brighter Tomorrow..

and these are mostly well known filmmakers..",0,0,0,334,[],[],[],https://pbs.twimg.com/profile_images/1838280943687090176/_OjefNLk_x96.jpg,https://x.com/tuhinat221b/status/1715294226135798080,tweet_id:1715294226135798080
,@_harkonnen,2023-10-20T09:06:57.000Z,True,𝐒𝐚𝐥𝐭𝐛𝐮𝐫𝐧 | 𝐉𝐚𝐜𝐨𝐛 𝐄𝐥𝐨𝐫𝐝𝐢 | 𝐁𝐚𝐫𝐫𝐲 𝐊𝐞𝐨𝐠𝐡𝐚𝐧 #JacobElordi #BarryKeoghan #Saltburn #EmeraldFennell #SaltburnMovies #Movies #BeautifulMen #AppreciationPost,0,0,0,257,"['#JacobElordi', '#BarryKeoghan', '#Saltburn', '#EmeraldFennell', '#SaltburnMovies', '#Movies', '#BeautifulMen', '#AppreciationPost']",[],[],https://pbs.twimg.com/profile_images/1821737992664301568/ss91QCsO_x96.jpg,https://x.com/_harkonnen/status/1715293517289857298,tweet_id:1715293517289857298
dod Magazine,@dodmagazine,2023-10-20T09:02:52.000Z,True,"Saltburn, lo nuevo de Emerald Fennell, ya tiene su primer tráiler oficial.

La película llegará a los cines el próximo 22 de noviembre ",0,0,0,262,[],[],['\\U0001f447\\U0001f3fb'],https://pbs.twimg.com/profile_images/1653624223884103682/G6xFdjtQ_x96.jpg,https://x.com/dodmagazine/status/1715292486829047861,tweet_id:1715292486829047861
,@_harkonnen,2023-10-20T09:01:37.000Z,True,𝐒𝐚𝐥𝐭𝐛𝐮𝐫𝐧 | 𝐉𝐚𝐜𝐨𝐛 𝐄𝐥𝐨𝐫𝐝𝐢 #JacobElordi #Saltburn #SaltburnMovie #EmeraldFennell #Movies #BeautifulMan #AppreciationPost,0,0,0,220,"['#JacobElordi', '#Saltburn', '#SaltburnMovie', '#EmeraldFennell', '#Movies', '#BeautifulMan', '#AppreciationPost']",[],[],https://pbs.twimg.com/profile_images/1821737992664301568/ss91QCsO_x96.jpg,https://x.com/_harkonnen/status/1715292174735093874,tweet_id:1715292174735093874
POPP DAPP Fashion & Lifestyle Magazine,@DappPopp,2023-10-20T08:56:39.000Z,False,"WE'RE ALL ABOUT TO LOSE OUR MINDS! SALTBURN | POPP DAPP X PRIME
Read more: https://poppdapp.com/.../were-all-about-to-lose-our-minds…...
POPP DAPP BLOG
FASHION & LIFESTYLE MAGAZINE#poppdapp #fashionmagazine #saltburn #barrykeoghan #jacobelordi #jacobelordi #barrykeoghan #mgmstudios #primevideo #noahflynn #thekiss",0,0,0,220,"['#poppdapp', '#fashionmagazine', '#saltburn', '#barrykeoghan', '#jacobelordi', '#jacobelordi', '#barrykeoghan', '#mgmstudios', '#primevideo', '#noahflynn', '#thekiss']",[],[],https://pbs.twimg.com/profile_images/1506601354776612865/kiWmwL0f_x96.jpg,https://x.com/DappPopp/status/1715290924736020549,tweet_id:1715290924736020549
✪ martie • jamieclaire era ☽,@leochcastle,2023-10-20T08:47:22.000Z,False,"vane io in fissa con saltburn e con the buccaneers, ci scrivi una ff?",0,0,0,174,[],[],[],https://pbs.twimg.com/profile_images/1863153123713318912/LyGx-WFB_x96.jpg,https://x.com/leochcastle/status/1715288589376823458,tweet_id:1715288589376823458
Υάκινθος,@mysslightnyng,2023-10-20T08:40:03.000Z,False,Saltburn,0,0,0,256,[],[],[],https://pbs.twimg.com/profile_images/1860696914598957056/ddmH3VZk_x96.jpg,https://x.com/mysslightnyng/status/1715286746080969021,tweet_id:1715286746080969021
