Title,Year,Genre,Rating,Budget,Lifetime_Revenue
 Beau Is Afraid,2023,"Comedy, Adventure, Fantasy",6.8,"$35,000,000.00","$12,337,378.00"
 Django Unchained,2012,"Drama, Western",8.5,"$100,000,000.00","$425,368,238.00"
Harry Potter and the Deathly Hallows: Part 2,2011,"Fantasy, Adventure",8.1,"$125,000,000.00","$1,341,511,219.00"
 Schindler's List,1993,"Drama, History, War",9.0,"$22,000,000.00","$321,365,567.00"
Sing 2,2021,"Animation, Family, Music, Comedy",7.4,"$85,000,000.00","$408,402,685.00"
 The Lord of the Rings: The Return of the King,2003,"Adventure, Fantasy, Action",9.0,"$94,000,000.00","$1,118,888,979.00"
 The Departed,2006,"Drama, Thriller, Crime",8.5,"$90,000,000.00","$291,465,000.00"
 Promising Young Woman,2020,"Thriller, Crime, Drama",7.5,"$10,000,000.00","$20,379,604.00"
 Bullet Train,2022,"Action, Comedy, Thriller",7.3,"$90,000,000.00","$239,300,000.00"
 The Covenant,2023,"War, Action, Thriller",7.5,"$55,000,000.00","$20,000,000.00"
 Kung Fu Panda,2024,"Animation, Family, Fantasy, Action",7.6,"$80,000,000.00","$548,040,835.00"
 Beauty and the Beast,2017,"Family, Fantasy, Romance",7.1,"$160,000,000.00","$1,266,115,964.00"
 Don't Worry Darling,2022,"Mystery, Thriller",6.3,"$35,000,000.00","$86,700,000.00"
 The Little Mermaid,2023,"Adventure, Family, Fantasy, Romance",7.2,"$297,000,000.00","$569,626,289.00"
 Forrest Gump,1994,"Comedy, Drama, Romance",8.8,"$55,000,000.00","$677,387,716.00"
 There Will Be Blood,2007,Drama,8.2,"$25,000,000.00","$77,208,711.00"
The Santa Clause 3: The Escape Clause,2006,"Comedy, Family, Adventure",4.8,"$12,000,000.00","$84,500,122.00"
 Avengers: Endgame,2019,"Adventure, Science Fiction, Action",8.4,"$356,000,000.00","$2,799,439,100.00"
 Jack Frost,1998,"Comedy, Family, Drama, Fantasy",5.4,"$27,000,000.00","$34,562,925.00"
 Vacation,2018,"Animation, Comedy, Family, Fantasy",7.3,"$80,000,000.00","$528,600,000.00"
 Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"Animation, Comedy, Action, Science Fiction",7.2,"$75,000,000.00","$180,513,586.00"
 No Country for Old Men,2007,"Crime, Drama, Thriller",8.2,"$25,000,000.00","$171,627,166.00"
 Raiders of the Lost Ark,1981,"Adventure, Action",8.4,"$18,000,000.00","$389,925,971.00"
The Hunger Games: Mockingjay - Part 2,2015,"Action, Adventure, Science Fiction",6.5,"$160,000,000.00","$653,428,261.00"
 The Matrix,1999,"Action, Science Fiction",8.7,"$63,000,000.00","$463,517,383.00"
 American Pie,1999,"Comedy, Romance",7.0,"$11,000,000.00","$235,483,004.00"
 No Time to Die,2021,"Action, Thriller, Adventure",7.3,"$250,000,000.00","$774,153,024.00"
 Apocalypse Now,1979,"Drama, War",8.4,"$31,500,000.00","$150,000,000.00"
 Tombstone,1993,"Western, Action",7.8,"$25,000,000.00","$56,500,000.00"
 Alien,2024,"Horror, Science Fiction",8.5,"$80,000,000.00","$350,861,031.00"
 Saving Private Ryan,1998,"Drama, History, War",8.6,"$70,000,000.00","$481,840,909.00"
 The Notebook,2004,"Romance, Drama",7.8,"$29,000,000.00","$115,600,000.00"
 The Big Lebowski,1998,"Comedy, Crime",8.1,"$15,000,000.00","$47,010,480.00"
 Twilight,2024,"Action, Adventure, Crime, Thriller",5.3,"$38,400,000.00","$95,399,186.00"
 The Raven,2022,"War, Action, Drama",6.5,"$1,000,000.00",$881.00
 The Whale,2022,Drama,7.7,"$3,000,000.00","$55,101,305.00"
 Scarface,1983,"Action, Crime, Drama",8.3,"$25,000,000.00","$66,023,329.00"
 Blade Runner,2017,"Science Fiction, Drama",8.1,"$150,000,000.00","$259,239,658.00"
 Fifty Shades of Grey,2015,"Drama, Romance, Thriller",4.2,"$40,000,000.00","$569,651,467.00"
 Back to the Future,1985,"Adventure, Comedy, Science Fiction",8.5,"$19,000,000.00","$381,109,762.00"
 The Green Mile,1999,"Fantasy, Drama, Crime",8.6,"$60,000,000.00","$286,801,374.00"
 Wind River,2017,"Crime, Mystery, Thriller, Western",7.7,"$11,000,000.00","$44,998,252.00"
 John Wick,2023,"Action, Thriller, Crime",7.4,"$90,000,000.00","$440,157,245.00"
 Uncharted,2022,"Action, Adventure",6.3,"$120,000,000.00","$407,141,258.00"
 Infinity Pool,2023,"Horror, Science Fiction",6.0,"$4,500,000.00","$5,078,400.00"
 Barry Lyndon,1975,"Drama, Romance, War, History",8.1,"$11,000,000.00","$260,131.00"
 Bone Tomahawk,2015,"Western, Horror, Drama",7.1,"$1,800,000.00","$475,846.00"
10 Things I Hate About You,1999,"Comedy, Romance, Drama",7.3,"$16,000,000.00","$53,478,166.00"
 Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy",7.9,"$130,000,000.00","$789,804,554.00"
 Good Will Hunting,1997,Drama,8.3,"$10,000,000.00","$225,900,000.00"
 Don't Look Up,2021,"Comedy, Science Fiction, Drama",7.2,"$75,000,000.00","$791,863.00"
 The Prestige,2006,"Drama, Mystery, Science Fiction",8.5,"$40,000,000.00","$109,676,311.00"
" Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance",7.4,"$50,000,000.00","$145,079,584.00"
 Joy Ride,2023,Comedy,6.4,"$20,000,000.00","$15,800,000.00"
 Black Christmas,1974,"Horror, Mystery, Thriller",7.1,"$686,000.00","$4,000,000.00"
 The Banshees of Inisherin,2022,"Drama, Comedy",7.7,"$20,000,000.00","$49,300,000.00"
The Hunger Games: Mockingjay - Part 1,2014,"Science Fiction, Adventure, Thriller",6.6,"$125,000,000.00","$755,356,711.00"
 Trading Places,1983,Comedy,7.5,"$15,000,000.00","$90,404,800.00"
 Death on the Nile,2022,"Mystery, Crime, Thriller",6.3,"$90,000,000.00","$137,307,235.00"
 Man of Steel,2013,"Action, Adventure, Science Fiction",7.1,"$225,000,000.00","$668,045,518.00"
 Santa Claus,1994,"Fantasy, Drama, Comedy, Family",6.2,"$22,000,000.00","$189,833,357.00"
 Renaissance: A Film by Beyoncé,2023,"Music, Documentary",8.7,"$15,000,000.00","$44,029,271.00"
 Aquaman,2023,"Action, Adventure, Fantasy",6.8,"$205,000,000.00","$439,381,226.00"
 Shutter Island,2010,"Drama, Thriller, Mystery",8.2,"$80,000,000.00","$294,804,195.00"
 Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy",7.4,"$100,000,000.00","$876,688,482.00"
 Troy,2004,"Adventure, History, War",7.3,"$175,000,000.00","$497,400,000.00"
 Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure, Science Fiction",8.4,"$90,000,000.00","$384,298,736.00"
 The Dark Knight Rises,2012,"Action, Crime, Drama, Thriller",8.4,"$250,000,000.00","$1,081,041,287.00"
 Hypnotic,2023,"Mystery, Thriller, Science Fiction",5.5,"$70,000,000.00","$16,014,123.00"
 Call Me by Your Name,2017,"Romance, Drama",7.8,"$3,500,000.00","$43,143,046.00"
 Get Out,2017,"Mystery, Thriller, Horror",7.8,"$4,500,000.00","$255,407,969.00"
 Some Like It Hot,1959,"Comedy, Romance, Crime",8.2,"$2,883,848.00","$25,000,000.00"
Meg 2: The Trench,2023,"Action, Science Fiction, Horror",5.0,"$129,000,000.00","$384,056,482.00"
 Eternal Sunshine of the Spotless Mind,2004,"Science Fiction, Drama, Romance",8.3,"$20,000,000.00","$72,258,126.00"
300,2007,"Action, Adventure, War",7.6,"$65,000,000.00","$456,082,343.00"
 We're the Millers,2013,"Comedy, Crime",7.0,"$37,000,000.00","$270,000,000.00"
 Arthur Christmas,2011,"Drama, Animation, Family, Comedy",7.1,"$10,000,000.00","$151,300,000.00"
 Green Book,2018,"Drama, History",8.2,"$23,000,000.00","$319,700,000.00"
 Theater Camp,2023,Comedy,7.0,"$5,000,000.00","$4,400,000.00"
 Top Gun,2022,"Action, Drama",6.9,"$170,000,000.00","$1,488,732,821.00"
 Tenet,2020,"Action, Thriller, Science Fiction",7.3,"$205,000,000.00","$365,304,105.00"
12 Angry Men,1957,Drama,9.0,"$397,751.00","$4,360,000.00"
 Burlesque,2010,"Drama, Romance",6.4,"$55,000,000.00","$89,500,000.00"
 Casino Royale,2006,"Adventure, Action, Thriller",8.0,"$150,000,000.00","$599,045,960.00"
 Star Wars: Episode IV - A New Hope,1977,"Adventure, Action, Science Fiction",8.6,"$11,000,000.00","$775,398,007.00"
 The Lobster,2015,"Comedy, Drama, Romance",7.1,"$4,000,000.00","$15,700,000.00"
 Silent Hill,2006,"Horror, Mystery",6.5,"$50,000,000.00","$100,605,135.00"
 Jack Reacher,2012,"Crime, Drama, Thriller, Action",7.0,"$60,000,000.00","$218,300,000.00"
 Fiddler on the Roof,1971,"Drama, Romance",8.0,"$9,000,000.00","$83,304,330.00"
 Glass Onion,2022,"Comedy, Crime, Mystery",7.1,"$40,000,000.00","$13,280,000.00"
 The Many Saints of Newark,2021,"Crime, Drama",6.3,"$50,000,000.00","$13,037,403.00"
 Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure, Fantasy, Action",8.1,"$140,000,000.00","$655,011,224.00"
 The Longest Ride,2015,"Drama, Romance",7.0,"$34,000,000.00","$63,013,281.00"
 A Man Called Otto,2022,"Comedy, Drama",7.5,"$50,000,000.00","$108,961,677.00"
 The Deer Hunter,1978,"Drama, War",8.1,"$15,000,000.00","$49,000,000.00"
" Are You There God? It's Me, Margaret.",2023,"Comedy, Drama",7.3,"$30,000,000.00","$21,800,000.00"
 The Help,2011,Drama,8.1,"$25,000,000.00","$216,600,000.00"
Terminator 2: Judgment Day,1991,"Action, Thriller, Science Fiction",8.6,"$102,000,000.00","$520,000,000.00"
 The Truman Show,1998,"Comedy, Drama",8.2,"$60,000,000.00","$264,100,000.00"
 The Sound of Music,1965,"Drama, Family, Music, Romance",8.1,"$8,200,000.00","$286,214,286.00"
 The Outsiders,1983,"Crime, Drama",7.0,"$10,000,000.00","$33,697,647.00"
 Taxi Driver,2017,"Action, Drama, History",8.2,"$12,820,005.00","$81,927,980.00"
 Fast Times at Ridgemont High,1982,Comedy,7.1,"$4,500,000.00","$27,100,000.00"
 Evil Dead Rise,2023,"Horror, Thriller",6.5,"$15,000,000.00","$146,700,000.00"
 Hereditary,2018,"Horror, Mystery, Thriller",7.3,"$10,000,000.00","$87,825,916.00"
 The Irishman,2019,"Crime, Drama, History",7.8,"$159,000,000.00","$968,853.00"
 Catch Me If You Can,2002,"Drama, Crime",8.1,"$52,000,000.00","$352,114,312.00"
 The Shining,1980,"Horror, Thriller",8.4,"$19,000,000.00","$44,781,695.00"
 Knives Out,2019,"Comedy, Crime, Mystery",7.9,"$40,000,000.00","$312,897,920.00"
 Next Goal Wins,2023,"Comedy, Drama",6.5,"$14,000,000.00","$18,062,279.00"
 The Last Voyage of the Demeter,2023,"Horror, Thriller, Fantasy",6.1,"$45,000,000.00","$21,600,000.00"
 She's the Man,2006,"Comedy, Romance",6.4,"$20,000,000.00","$33,900,000.00"
 The Fast and the Furious,2006,"Action, Crime, Drama, Thriller",6.8,"$85,000,000.00","$158,964,610.00"
 Tropic Thunder,2008,"Action, Comedy, Adventure, War",7.1,"$92,000,000.00","$195,702,811.00"
 Murder on the Orient Express,2017,"Mystery, Drama, Crime",6.5,"$55,000,000.00","$352,800,000.00"
 The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama, Fantasy",7.3,"$90,000,000.00","$188,133,322.00"
 Christmas in Connecticut,1945,"Comedy, Romance",7.3,"$864,000.00","$3,000,000.00"
 Love & Other Drugs,2010,"Drama, Comedy, Romance",6.7,"$30,000,000.00","$102,800,000.00"
 The Equalizer,2014,"Thriller, Action, Crime",7.2,"$55,000,000.00","$192,330,738.00"
 Ford v Ferrari,2019,"Drama, Action, History",8.1,"$97,600,000.00","$225,508,210.00"
 Divergent,2014,"Action, Adventure, Science Fiction",6.6,"$85,000,000.00","$288,885,818.00"
 Taken,2008,"Action, Thriller",7.8,"$25,000,000.00","$226,830,568.00"
 Renfield,2023,"Comedy, Horror",6.4,"$65,000,000.00","$26,874,347.00"
